GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client.activity,SubActivity,14,6,0,0,5,2,1,1,1,1
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client.activity,ChatDialogue,94,13,5,0,22,5,8,3,5,3
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client.activity,MainDialogue,195,38,9,5,48,14,9,6,3,5
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client.activity,AddBuddyActivity,172,6,8,0,34,2,8,1,4,1
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client.activity,MainDialogue.new TimerTask() {...},22,0,0,0,6,0,2,0,2,0
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client.activity,DeleteBuddyActivity,110,6,6,0,26,2,6,1,3,1
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client.activity,MessageHelper,77,189,0,8,18,44,2,12,2,8
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.util,XmlParseException,0,32,0,4,0,11,0,5,0,3
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.util,XmlElementHelper,13,130,2,14,6,39,3,12,1,6
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.util,Base64,52,833,14,70,4,163,14,42,0,14
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.util,ConvertHelper,28,335,5,23,11,55,6,20,1,11
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.util,XmlElement,289,1359,68,166,86,399,58,134,4,68
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.util,DigestHelper,18,27,0,0,5,8,1,4,1,4
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.util,StringHelper,12,212,0,12,5,27,1,14,1,8
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client.transfer,TransferException,0,16,0,0,0,8,0,4,0,4
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client.transfer,TcpTransfer,44,42,0,0,14,10,5,2,5,2
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client.transfer,TransferProxy,33,96,3,5,12,24,7,4,5,2
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core,Fetion,441,84,34,3,106,27,27,14,8,14
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core,FetionException,0,16,0,0,0,8,0,4,0,4
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core,FetionConsoleImpl,67,24,2,0,10,9,6,4,5,4
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core,Result.Type,0,15,0,0,0,3,0,1,0,1
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core,Fetion.DefaultLogHandler,52,0,0,0,17,0,6,0,6,0
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core,UserInfo,51,537,17,47,9,122,15,32,0,15
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core,SystemConfig,2,157,2,8,1,36,2,9,0,6
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core,Result,0,35,0,0,0,11,0,6,0,6
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core,Quota,2,119,6,6,2,24,6,8,0,8
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core,Account,0,73,0,0,0,22,0,12,0,12
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client,Dispatcher,128,0,6,0,33,0,6,0,3,0
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client,Dialogue,0,6,0,0,0,2,0,1,0,1
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client,Dispatcher.ReceiverTask,59,0,8,0,15,0,6,0,2,0
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client,Dispatcher.SenderTask,48,0,6,0,12,0,5,0,2,0
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client,CmccMobileValidator.Part,0,23,0,4,0,5,0,4,0,2
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client,AuthFeedbackImpl,137,0,4,0,40,0,10,0,8,0
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client,SimpleProviderFactory,0,13,0,0,0,4,0,2,0,2
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client,CaptchaImpl,0,72,0,0,0,22,0,12,0,12
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client,Controller,115,312,10,22,31,73,8,34,2,24
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client,UserHelper,3,201,0,16,1,43,1,10,1,2
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client,ClientHelper,153,59,4,14,31,11,5,12,3,5
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client,CmccMobileValidator,0,72,2,8,0,17,2,5,0,2
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client,Activity,218,26,18,0,51,9,15,4,6,4
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client,SimpleProvider,26,403,6,24,8,112,6,24,0,15
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.user,Contact,13,173,1,11,3,47,1,19,0,14
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.user,Relation,0,67,0,6,0,17,0,9,0,4
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.user,Buddy,0,49,0,0,0,21,0,5,0,5
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.user,Presence,0,70,0,6,0,18,0,9,0,4
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.user,BuddyGroup,4,48,2,4,2,16,2,7,0,6
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.user,Personal,0,138,2,10,0,41,2,27,0,23
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.user,User,4,80,2,4,2,29,2,13,0,12
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.sipc,SipcMessageReader,31,227,3,19,8,62,3,14,0,6
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.sipc,SipcMessageWriter,0,17,0,0,0,7,0,3,0,3
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.sipc,SipcMessage,3,348,4,26,1,91,4,33,0,22
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.sipc,Field,48,29,12,0,11,11,8,6,2,6
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.sipc,ResponseMessage,0,28,0,0,0,10,0,6,0,6
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.sipc,RequestMessage,0,23,0,0,0,8,0,4,0,4
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client.auth,PasswordEncrypterV4,3,49,0,0,1,9,1,4,1,4
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client.auth,AuthDigest,45,132,1,3,8,26,2,9,1,8
io.github.easy4j:fetion4j-sdk,net.apexes.fetion4j.core.client.auth,AuthGeneratorV4,29,118,3,1,12,24,3,5,1,5
